micnum,ccode1,ccode2,year,dyfatalmin1,dyfatalmax1,dyfatalmin2,dyfatalmax2,dyhiact1,dyhiact2,dyhostlev1,dyhostlev2,numevents,version
23,366,365,1939,0,0,0,0,0,13,1,4,1,mic-tdd-1.01
25,200,210,1831,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
25,210,211,1831,81,160,81,130,16,0,4,1,5,mic-tdd-1.01
25,210,211,1832,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
25,210,220,1831,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
25,210,200,1831,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
25,211,210,1831,81,130,81,160,0,16,1,4,5,mic-tdd-1.01
25,211,210,1832,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
25,220,210,1831,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
26,2,365,1948,0,0,0,0,7,13,3,4,6,mic-tdd-1.01
26,2,365,1949,0,0,0,0,0,13,1,4,1,mic-tdd-1.01
26,200,365,1948,0,0,0,0,7,16,3,4,10,mic-tdd-1.01
26,200,365,1949,0,0,0,0,0,13,1,4,1,mic-tdd-1.01
26,220,365,1948,0,0,0,0,0,13,1,4,4,mic-tdd-1.01
26,220,365,1949,0,0,0,0,0,13,1,4,1,mic-tdd-1.01
26,365,2,1948,0,0,0,0,13,7,4,3,6,mic-tdd-1.01
26,365,2,1949,0,0,0,0,13,0,4,1,1,mic-tdd-1.01
26,365,200,1948,0,0,0,0,16,7,4,3,10,mic-tdd-1.01
26,365,200,1949,0,0,0,0,13,0,4,1,1,mic-tdd-1.01
26,365,220,1948,0,0,0,0,13,0,4,1,4,mic-tdd-1.01
26,365,220,1949,0,0,0,0,13,0,4,1,1,mic-tdd-1.01
27,2,265,1961,0,0,0,0,10,7,3,3,4,mic-tdd-1.01
27,2,290,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,2,315,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,2,365,1961,0,0,0,0,10,7,3,3,5,mic-tdd-1.01
27,2,365,1962,0,0,0,0,0,7,1,3,7,mic-tdd-1.01
27,200,265,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,200,290,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,200,315,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,200,365,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,220,265,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,220,290,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,220,315,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,220,365,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,260,265,1961,0,0,0,0,17,17,4,4,7,mic-tdd-1.01
27,260,265,1962,0,0,2,2,17,17,4,4,5,mic-tdd-1.01
27,260,290,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,260,315,1961,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
27,260,365,1961,0,0,0,0,0,16,1,4,3,mic-tdd-1.01
27,265,2,1961,0,0,0,0,7,10,3,3,4,mic-tdd-1.01
27,290,2,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,315,2,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,365,2,1961,0,0,0,0,7,10,3,3,5,mic-tdd-1.01
27,365,2,1962,0,0,0,0,7,0,3,1,7,mic-tdd-1.01
27,265,200,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,290,200,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,315,200,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,365,200,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,265,220,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,290,220,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,315,220,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,365,220,1961,0,0,0,0,7,7,3,3,2,mic-tdd-1.01
27,265,260,1961,0,0,0,0,17,17,4,4,7,mic-tdd-1.01
27,265,260,1962,2,2,0,0,17,17,4,4,5,mic-tdd-1.01
27,290,260,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,315,260,1961,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
27,365,260,1961,0,0,0,0,16,0,4,1,3,mic-tdd-1.01
28,220,616,1961,12,27,34,82,17,17,4,4,14,mic-tdd-1.01
28,616,220,1961,34,82,12,27,17,17,4,4,14,mic-tdd-1.01
30,300,345,1908,0,0,0,0,14,10,4,3,2,mic-tdd-1.01
30,345,300,1908,0,0,0,0,10,14,3,4,2,mic-tdd-1.01
31,2,710,1900,107,134,226,425,22,22,5,5,10,mic-tdd-1.01
31,2,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
31,200,710,1900,54,82,416,660,22,22,5,5,10,mic-tdd-1.01
31,200,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
31,220,710,1900,11,25,201,385,22,22,5,5,10,mic-tdd-1.01
31,220,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
31,255,710,1900,16,40,271,480,22,22,5,5,10,mic-tdd-1.01
31,255,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
31,300,710,1900,1,10,152,315,22,22,5,5,10,mic-tdd-1.01
31,300,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
31,325,710,1900,1,10,156,320,22,22,5,5,10,mic-tdd-1.01
31,325,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
31,365,710,1900,33,57,281,480,22,22,5,5,10,mic-tdd-1.01
31,365,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
31,710,740,1900,226,465,141,220,22,22,5,5,10,mic-tdd-1.01
31,710,740,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,710,2,1900,226,425,107,134,22,22,5,5,10,mic-tdd-1.01
31,710,2,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,710,200,1900,416,660,54,82,22,22,5,5,10,mic-tdd-1.01
31,710,200,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,710,220,1900,201,385,11,25,22,22,5,5,10,mic-tdd-1.01
31,710,220,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,710,255,1900,271,480,16,40,22,22,5,5,10,mic-tdd-1.01
31,710,255,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,710,300,1900,152,315,1,10,22,22,5,5,10,mic-tdd-1.01
31,710,300,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,710,325,1900,156,320,1,10,22,22,5,5,10,mic-tdd-1.01
31,710,325,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,710,365,1900,281,480,33,57,22,22,5,5,10,mic-tdd-1.01
31,710,365,1901,0,0,0,0,0,14,1,4,0,mic-tdd-1.01
31,740,710,1900,141,220,226,465,22,22,5,5,10,mic-tdd-1.01
31,740,710,1901,0,0,0,0,14,0,4,1,0,mic-tdd-1.01
38,2,200,1837,0,0,0,0,7,16,3,4,2,mic-tdd-1.01
38,200,2,1837,0,0,0,0,16,7,4,3,2,mic-tdd-1.01
40,710,740,1928,76,275,15,30,17,17,4,4,9,mic-tdd-1.01
40,740,710,1928,15,30,76,275,17,17,4,4,9,mic-tdd-1.01
41,365,710,1929,1030,2005,3062,5002,22,22,5,5,42,mic-tdd-1.01
41,710,365,1929,3062,5002,1030,2005,22,22,5,5,42,mic-tdd-1.01
43,255,710,1897,0,0,0,0,16,0,4,1,4,mic-tdd-1.01
43,255,710,1898,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
43,710,255,1897,0,0,0,0,0,16,1,4,4,mic-tdd-1.01
43,710,255,1898,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
50,2,710,1950,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
