micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
67,7,25,1934,7,31,1934,0,0,7,3,5,3,1,mic-1.0
68,1,3,1900,1,13,1900,0,0,7,3,4,1,2,mic-1.0
69,5,25,1914,11,29,1916,40,40,16,4,4,1,1,mic-1.0
71,1,17,1850,4,15,1850,0,0,13,4,4,1,1,mic-1.0
77,7,10,1898,3,21,1899,0,0,14,4,4,1,1,mic-1.0
78,7,16,1847,12,23,1847,0,0,14,4,5,1,1,mic-1.0
86,3,25,1907,8,-9,1908,0,0,16,4,1,2,1,mic-1.0
88,7,6,1870,5,10,1871,74209,90865,22,5,2,1,4,mic-1.0
89,9,21,1822,11,13,1823,170,195,22,5,1,1,1,mic-1.0
91,6,-9,1887,6,-9,1887,0,0,4,2,4,2,1,mic-1.0
