Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bangladesh,BGD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,2023.793294,1964.024275,1905.829688,1849.422976,1794.866917,1742.297333,1690.699068,1640.736468,1594.123714,1554.591479,1535.621954,1514.131061,1475.862936,1439.385285,1405.615998,1374.70398,1343.780041,1312.376145,1281.9237,1251.046038,1218.735998,1185.699301,1153.269798,1122.583571,1094.216193,1068.465803,1044.877426,1022.506508,1001.013655,979.9561541,961.1614433,943.6327535,925.7727979,908.1875102,891.3916677,875.8987597,860.3791047,844.387634,828.3708398,812.7354751,797.4452346,782.7652915,769.2127026,756.5401545,745.1427867,736.1765448,728.4789926,722.0399419,715.713197,707.5894201,699.0166932,690.3777497,681.6847708,673.2439437,665.2727618,657.1347992,648.9735303,641.4800893,634.378907,627.1616508,,,
Bulgaria,BGR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,2643.798065,2620.758957,2599.606717,2578.477814,2559.674546,2542.971065,2527.007087,2509.079582,2489.870968,2473.622351,2460.054859,2448.636925,2435.921632,2419.704692,2408.051975,2397.643733,2385.229839,2382.564529,2379.349962,2369.792592,2361.907958,2354.931456,2349.062131,2343.572401,2343.606925,2344.228526,2340.782483,2338.153567,2365.671538,2408.729511,2432.704726,2458.969172,2478.661966,2487.093465,2498.195648,2511.11287,2526.447089,2543.362514,2557.661878,2570.325325,2622.003705,2679.541737,2700.851038,2721.31411,2741.882331,2762.786373,2783.175518,2802.779984,2820.89607,2839.526589,2857.792956,2874.393914,2890.525477,2907.001694,2925.609687,2946.201519,2967.800635,2989.308099,3010.424239,3028.548395,,,
Bahrain,BHR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,23.95639935,23.07350642,22.23568717,21.43772074,20.72410006,20.09858355,19.52019364,18.97524205,18.45903939,17.9730853,17.31661703,16.45122418,15.58652078,14.78049123,14.02937752,13.33137806,12.68484193,12.08780582,11.53745201,11.03159172,10.59799168,10.22973426,9.88210647,9.541597788,9.208633094,8.88501897,8.573296325,8.275799287,7.994419895,7.730693559,7.470840376,7.214096344,6.971616805,6.742474556,6.525988116,6.321552067,6.128925002,5.948096906,5.779236072,5.622383835,5.477523666,5.345278248,5.139696963,4.799322336,4.43497823,4.119545079,3.844187396,3.602490402,3.391402625,3.295856696,3.300120372,3.265468729,3.170393596,3.050794198,2.936551402,2.837561655,2.745680016,2.689364906,2.677039302,2.707332607,,,
"Bahamas, The",BHS,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,5822.852199,5542.140058,5277.48249,5043.772742,4832.618796,4625.866524,4424.862671,4230.732038,4052.215694,3907.798291,3795.375064,3700.160164,3616.393629,3539.518727,3467.389205,3396.475429,3324.878642,3255.571678,3190.141551,3128.463656,3070.768043,3014.941187,2958.754956,2902.565038,2846.280521,2791.024067,2738.461298,2687.635342,2636.604355,2586.089058,2535.69902,2482.50719,2429.172277,2380.976677,2336.807387,2295.586244,2256.819625,2219.418005,2185.642204,2153.753377,2123.618889,2095.795834,2068.007918,2040.286923,2012.627802,1984.892135,1957.133191,1929.464298,1901.879328,1875.308086,1852.096838,1832.168162,1815.117334,1798.880069,1782.544812,1767.783906,1754.29803,1741.700796,1730.287697,1722.140079,,,
Bosnia and Herzegovina,BIH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8302.6758,9003.340366,9435.642275,9465.336471,9084.509223,8770.308824,8626.850794,8548.008747,8494.143826,8462.592481,8455.581994,8485.196439,8568.959608,8670.597175,8747.966406,8857.559465,9002.401993,9154.793372,9314.925292,9484.011026,9661.509688,9813.246999,9941.003644,10072.85369,10198.25992,10319.68644,10440.78034,10563.24093,10697.90414,,,
Belarus,BLR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327.959657,3320.620565,3324.547727,3335.350566,3346.59866,3360.536215,3375.707397,3390.933322,3406.946764,3424.468168,3446.336686,3470.539053,3494.294947,3518.242865,3539.851018,3556.130859,3568.435509,3577.221641,3585.047232,3593.456232,3599.088626,3600.470221,3598.449068,3593.671587,3590.520561,3594.464482,3602.158541,3609.434552,3624.752024,,,
Belize,BLZ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,158647.6484,154356.5779,149943.0099,145557.9084,141215.2283,136970.3171,132897.8881,129163.3163,126214.7967,123973.3206,122027.2842,120275.8621,118644.0678,116665.7747,114331.9523,112055.1023,109837.1157,107598.9085,105144.936,102578.5808,100125.3207,97787.29022,95541.60067,93369.88179,91272.8556,89250.2047,87291.28174,85396.90534,83575.6809,81839.73142,80189.59637,78588.09231,76909.12023,74967.08522,72722.07396,70284.68522,67850.267,65568.6989,63475.95318,61507.45667,59612.40219,57803.46821,56076.55221,54427.10655,52852.32865,51350.56011,49922.95638,48572.27433,47375.70862,46307.2544,45273.97281,44271.92127,43311.0534,42404.08369,41544.9494,40726.6749,39940.74322,39219.21382,38640.63952,,,
Bermuda,BMU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,80190.36426,78542.7029,76918.6125,75320.04193,73745.39881,72192.03319,70659.13683,69146.22524,67653.4485,66184.10783,64736.07412,63310.89047,61910.37255,60533.35168,59187.45281,57871.74972,56581.78529,55321.30835,54096.15748,52910.6248,51765.39615,50658.32454,49586.4798,48545.04036,47528.59154,46534.92657,45560.76064,44605.64203,43674.47536,42769.40568,41891.58954,41044.46881,40228.0393,39447.74714,38704.47267,37987.99079,37295.92157,36623.94557,35963.75517,35320.86005,34701.24458,34098.88993,33508.59377,32930.86071,32365.0893,31804.53926,31252.72882,30716.77985,30195.04807,29687.17446,29193.22994,28714.16276,28250.03637,27800.71095,27366.78754,26946.60355,26540.08344,26148.22815,25769.88049,25426.93372,,,
Brazil,BRA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,75149.33491,72951.76609,70837.27317,68816.04337,66896.11605,65084.46385,63376.52953,61761.36339,60223.16016,58742.4234,57317.12829,55941.83409,54607.59202,53321.46679,52078.8701,50868.70192,49684.09394,48523.80738,47393.28438,46292.21404,45227.19294,44204.08231,43221.20684,42281.36377,41386.66757,40538.9859,39735.72298,38973.11642,38249.11846,37563.09136,36918.81601,36311.55429,35729.41641,35165.75601,34620.60756,34094.78514,33587.12906,33097.55898,32630.82226,32187.86752,31765.55889,31366.93252,30997.2205,30646.04477,30305.57171,29980.82594,29673.00677,29381.49127,29102.77262,28830.65609,28564.17677,28308.15537,28063.40676,27823.6987,27589.30515,27366.39055,27150.43326,26935.77484,26730.20621,26552.99315,,,
Barbados,BRB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,342.3221423,340.6734262,339.1626921,337.7893377,336.567183,335.4382081,334.3950376,333.46533,332.5103702,331.4042842,330.1010935,328.5987727,327.0071083,325.4003441,323.7686673,322.1143587,320.4319423,318.7136716,317.0401135,315.4885142,314.1147461,312.9376237,311.8847586,310.9464822,310.184521,309.6334714,309.2934963,309.1644059,309.1679903,309.0378108,308.4016314,307.4416245,306.519282,305.6795256,304.9907931,304.4221117,303.9236544,303.4417885,302.8352955,302.2780429,301.4579259,300.2383142,299.0665386,297.9460345,296.8713471,295.830637,294.7200896,293.4326114,292.1936806,291.2151315,290.3958822,289.6483307,288.949488,288.2955606,287.6838929,287.099541,286.5462933,286.0330082,285.5307302,285.0088887,,,
Brunei Darussalam,BRN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,94907.38156,90582.60601,86490.2266,82601.25943,78933.19466,75490.466,72261.7064,69238.53899,66400.025,63745.37846,61298.37163,59074.54513,57022.10445,55082.49414,53240.46526,51495.17763,49835.8349,48247.20734,46715.87405,45231.77293,43792.08548,42366.54538,40959.31535,39593.44519,38267.77538,36986.27157,35757.55536,34590.95182,33488.16686,32451.66611,31497.81368,30639.90541,29854.62554,29116.07036,28418.87414,27759.99686,27137.90847,26549.8888,25990.30714,25454.74147,24945.12073,24463.03635,24008.24754,23580.91444,23178.63639,22799.93992,22442.36273,22102.72306,21777.50563,21461.77406,21170.29384,20903.31846,20646.00123,20400.52225,20169.08814,19953.33268,19754.76206,19572.89637,19404.2662,19242.74152,,,
Bhutan,BTN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,418371.3464,406996.9197,395391.8125,383925.2518,372534.4104,361249.6958,350115.5381,339162.1624,328383.3859,317838.431,307605.6302,297686.1949,288053.3657,278721.5191,269680.2727,260903.7155,252399.7906,244170.7447,236281.3788,228773.9882,221630.6886,214834.4305,208318.2577,202056.7248,196067.1004,190323.1687,184815.5541,179566.8092,174565.2865,170116.1446,167338.9583,174010.5212,182398.3657,155392.7023,153544.0235,150699.3566,148116.9941,145384.5781,141858.8767,137941.1349,134276.251,130846.0733,127634.0275,120001.6616,117589.7715,115854.2019,114434.2692,113086.5823,111799.4261,110557.3793,109346.1521,108161.3268,107012.1788,105926.8806,104941.1119,104033.1519,103158.0924,102349.3103,101634.0938,100970.0896,,,
Botswana,BWA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,4576.632857,4474.039386,4371.258248,4268.381608,4203.336398,4174.965861,4147.06172,4119.075611,4090.418705,4052.383815,3972.595711,3830.188589,3651.60077,3470.369551,3297.020318,3131.425947,2974.095627,2825.543858,2686.066032,2557.059722,2442.13414,2346.020416,2262.620473,2183.465706,2107.659234,2035.169424,1966.631185,1902.840942,1843.783875,1789.076792,1738.394766,1689.314033,1641.292737,1596.228644,1554.772699,1516.904958,1482.072481,1449.538835,1418.810351,1389.70518,1362.14265,1336.950527,1313.727411,1290.957649,1267.958117,1244.358906,1220.146448,1195.624016,1171.30479,1147.411821,1124.629048,1103.232702,1082.40825,1061.770254,1041.137512,1020.227715,999.2339207,979.0287953,960.1144456,942.5063285,,,
Central African Republic,CAF,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,82438.59202,80918.12807,79382.32668,77827.71263,76250.38463,74648.47714,73024.4176,71383.11622,69749.52993,68203.05743,66785.9024,65471.37299,64210.42805,62965.96489,61735.77352,60819.14328,60203.71914,59595.335,58987.69584,58378.42135,57762.97516,57139.73096,56510.82904,55873.93572,55227.51976,54574.35679,53907.44894,53062.67605,51760.04338,50191.85034,48653.3713,47129.96874,45643.68275,44230.52069,43031.01957,41919.74598,40769.44963,39661.73323,38573.49208,37508.27975,36673.1664,35871.94783,35015.04033,34263.73551,33500.96488,32833.82452,32224.38042,31563.16225,30890.29782,30257.0757,29796.98742,29539.27529,29360.14866,29382.7497,29257.16069,28751.00144,28218.39275,27675.38539,27066.85167,26389.56994,,,
Canada,CAN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,155984.8941,153110.5619,150284.7501,147477.3609,144831.7918,142158.8188,139623.7507,137389.1246,135533.5743,133652.2228,129769.413,128271.6991,126712.976,124956.3256,123145.9247,121536.1763,120122.1807,118932.3481,117761.0817,116252.1909,114827.1459,113469.2273,112353.1234,111297.4617,110285.0866,109194.2392,107764.321,106376.0418,104484.4698,102921.0139,101649.8665,100453.7549,99355.88105,98273.61533,97261.95316,96250.55783,95298.76799,94511.14739,93746.0343,92877.04741,91873.6766,90882.42337,90068.84768,89233.13886,88392.01343,87500.63284,86655.41302,85721.25169,84745.58884,83808.98116,82995.47622,82100.87201,81240.57609,80431.07444,79821.87566,78923.75032,77985.88455,76876.14202,75760.60658,74943.5202,,,
